date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
28-03-17,4317601.523,3068,52396100,64.69,9419650,7062.5,0.82384758
29-03-17,2650625.218,2520,62717300,63.36,2921400,7112.5,0.60738968
30-03-17,2965815.442,2536,61533300,66.95,4462730,7175,0.66905191
31-03-17,4646095.1,3192,65584900,70.26,6312930,7212.5,0.84745703
01-04-17,2076551.156,1996,69257500,64.59,3451690,7225,0.48436943
02-04-17,2858095.313,1954,64197700,63.73,4470820,7087.5,0.2442237
03-04-17,4437303.203,2082,64128500,63.45,4457090,7162.5,0.2737626
04-04-17,2348741.099,1886,64046000,62.7,5109820,7237.5,0.36954551
05-04-17,2698979.349,1895,63575400,59.08,5402150,7075,0.22741234
06-04-17,2221106.8,2079,60520700,57.9,5816800,7300,0.22263413
07-04-17,1867152.616,1989,59523300,59.8,3267540,7075,0.22999673
08-04-17,4405906.722,2213,61741700,63.58,3732900,7300,0.32553643
09-04-17,3816978.204,2529,66355600,62.55,10584900,7212.5,0.29584354
10-04-17,2454758.657,2495,66021000,64.82,4183730,7100,0.36051309
11-04-17,3399265.187,2082,68728500,61.83,3188750,7212.5,0.27408488
12-04-17,3402669.586,1993,65983600,62,3425370,7125,0.2481254
13-04-17,2376091.944,2088,66613800,64.66,4322200,7125,0.24779981
14-04-17,2999079.792,2201,70014800,71.17,5898520,7175,0.29505904
15-04-17,4997816.535,2553,78194200,72.87,8228310,7200,0.30473111
16-04-17,2676044.922,2161,79847000,71.5,3777100,7225,0.28818262
17-04-17,4428190.457,2369,78887900,70.24,3190330,7112.5,0.3932041
18-04-17,2914030.662,2094,77913000,71.78,3733350,7200,0.28554817
19-04-17,2351544.896,2023,80124000,70.94,4692510,7125,0.24671899
20-04-17,3298233.277,2242,79776500,67.32,5595750,7100,0.28151651
21-04-17,3194311.919,2154,76077100,68.14,5144630,7300,0.24939958
22-04-17,4621150.992,2052,77370200,68.67,4087150,7162.5,0.20468917
23-04-17,3039081.209,2075,78715800,66.34,2664960,7075,0.22809809
24-04-17,3648029.893,2188,76673600,67.99,4159870,7387.5,0.2743654
25-04-17,3927245.145,2039,78658500,69.17,4835280,6987.5,0.26508593
26-04-17,4776368.208,2320,80642700,72,7519790,7287.5,0.29920471
27-04-17,6362624.201,2404,84612600,76.82,9219590,7162.5,0.31262104
28-04-17,9820458.937,2272,90759600,83.95,10311300,7175,0.29714621
29-04-17,9987089.49,2448,99875400,96.08,10732700,7125,0.28675942
30-04-17,5217399.381,4379,114946000,93.2,11989300,7112.5,1.17249293
01-05-17,19712591.53,11050,112683000,90.05,19211300,7250,3.79758348
02-05-17,21668552.91,10951,109383000,91.93,9723680,7037.5,3.6668293
03-05-17,15150747.81,12780,111439000,91.04,8785360,7200,4.26359087
04-05-17,20449886.72,8324,111469000,99.54,9791100,7237.5,2.52404169
05-05-17,14892900.14,3587,122501000,103.64,12122500,7112.5,0.85282516
06-05-17,6985451.469,2731,128578000,108.21,7489580,7262.5,0.58817486
07-05-17,7073937.211,2320,134288000,103.83,9456320,7162.5,0.46194224
08-05-17,14207444.14,2572,130349000,106.62,11574400,7200,0.56307155
09-05-17,10183960.71,2822,133321000,96.09,12915800,7225,0.47716111
10-05-17,6808667.117,2436,122197000,96.99,7670940,7150,0.44198392
11-05-17,7560296.285,2610,123504000,95.13,7542780,7150,0.49242135
12-05-17,8298337.734,2419,122184000,97.44,7739710,7200,0.47296871
13-05-17,3465572.385,1946,125467000,96.58,4761440,7075,0.42902736
14-05-17,3734827.052,1972,125286000,96.7,5258320,7225,0.47589685
15-05-17,8797428.651,2362,126091000,93.57,6412220,7250,0.4904803
16-05-17,5471226.955,2201,122524000,90.6,5421060,6950,0.42065328
17-05-17,6870025.959,2290,119361000,92.66,7980650,7175,0.42754071
18-05-17,9083270.718,2312,122765000,94.92,6969390,7275,0.40021763
19-05-17,15516168.55,2526,125961000,106.08,11538100,7137.5,0.35192224
20-05-17,13179337.31,2440,141697000,108.23,7298390,7237.5,0.37714615
21-05-17,11225242.57,2519,145825000,119.81,11511500,7087.5,0.46140092
22-05-17,36011049.21,4731,162935000,203.19,103976000,7275,0.74816816
23-05-17,45320448.23,4840,277175000,239.49,87792200,7225,0.50137466
24-05-17,20077691.55,3472,326874000,238.6,51125500,7137.5,0.57473445
25-05-17,24949919.71,3526,325697000,224.46,45598300,7300,0.53562401
26-05-17,15931825.27,3305,306780000,197.88,30254100,7037.5,0.53878536
27-05-17,15354744.2,3024,275981000,190.82,27968300,7187.5,0.8947427
28-05-17,13935325.68,2977,267127000,196.32,17904800,7212.5,0.93887656
29-05-17,18744230.62,3051,274861000,205.57,18855000,7150,0.81077821
30-05-17,18855230.06,3406,290541000,232.93,35817600,7125,0.89056763
31-05-17,20256370.4,3122,330973000,235.67,30347500,7162.5,0.80442476
01-06-17,35380220.96,3192,335810000,249.27,23902700,7062.5,0.82430074
02-06-17,22402709.94,2885,356721000,241.68,15822200,7237.5,0.75436124
03-06-17,13997214.81,2987,347532000,230,18667600,7187.5,0.9256659
04-06-17,13487280.26,2783,331190000,239.52,15806600,7287.5,1.00919432
05-06-17,56378292.69,4054,347104000,253.03,43925100,7137.5,1.62751919
06-06-17,73186335.89,3841,371267000,259.36,20436100,7112.5,2.98868333
07-06-17,73823141.17,3988,380849000,262.79,50328900,7275,1.40602454
08-06-17,73228160.14,3927,389903000,272.24,23372600,7125,2.44092319
09-06-17,31804537.31,3123,402438000,281.13,16799000,7212.5,0.96365174
10-06-17,57232605.97,3859,418942000,328.66,38924900,7187.5,1.11000834
11-06-17,30172122.05,4214,492266000,331.1,38020300,7100,1.441988
12-06-17,27097439.5,4147,495788000,311.49,46398200,7225,1.40031561
13-06-17,66465966.03,4668,470678000,368.28,44446100,7150,1.17697044
14-06-17,111376909.1,6470,558715000,387.49,101232000,7237.5,1.71893026
15-06-17,47558204.67,5113,582192000,387.34,68123100,7187.5,1.53266488
16-06-17,56951878.27,5169,606012000,387.43,38818700,7075,1.23110219
17-06-17,36199879.76,4668,597978000,384.86,28059300,7212.5,1.24433778
18-06-17,42148659.4,4379,598756000,376.82,19743700,7200,1.0495305
19-06-17,54457005.36,4928,583207000,391.89,29471100,7100,1.03990331
20-06-17,59876304.71,5979,610509000,401.2,66283200,7187.5,1.34916275
21-06-17,43662809.55,4888,612054000,378.22,31746200,7262.5,1.19361136
22-06-17,27451011.6,4079,588315000,378.56,29971100,7112.5,0.98956986
23-06-17,48887954.19,4364,575399000,385.84,24419100,7200,0.91995519
24-06-17,35483071.01,3960,591734000,362.57,22252900,7175,0.9971236
25-06-17,27324840.25,4338,554006000,330.04,28035800,7062.5,1.14333182
26-06-17,31954785.12,4518,503912000,304.65,36083400,7250,1.17682284
27-06-17,48856148.87,4618,481606000,328.65,43883000,7287.5,1.14161468
28-06-17,32183825.74,4028,508309000,342.61,29121800,7137.5,0.93378493
29-06-17,37152074.92,3685,523837000,324.38,28494500,7150,0.92023189
30-06-17,24509325.53,4002,494798000,307.12,37157600,7162.5,0.87566281
01-07-17,39230937.81,4236,464819000,290.37,25718200,7212.5,0.86446781
02-07-17,12232177.85,3964,438992000,301.88,24816800,7150,0.97185658
03-07-17,31531475.6,4389,458593000,291.56,28546700,7137.5,1.26520338
04-07-17,15863075.7,4273,449337000,282.21,28509400,7162.5,0.97897421
05-07-17,20665966.07,3863,435050000,283.01,38079400,7087.5,0.90352401
06-07-17,18097520.67,4045,437232000,287.81,35396700,7237.5,1.06334922
07-07-17,10413438.8,3368,443549000,248.73,38104000,7125,0.60278416
08-07-17,11157822.38,3240,420155000,248.86,27224500,7287.5,0.80350129
09-07-17,16302578.02,3390,426014000,241.43,17712900,7062.5,1.6671094
10-07-17,21744950.79,3799,412809000,198.73,28200200,7337.5,0.82509856
11-07-17,16544409.2,4481,338586000,178.37,37434800,7037.5,2.16023522
12-07-17,22583562.14,4003,305980000,211.24,30152500,7125,1.08549731
13-07-17,18921090.28,3770,369981000,191.15,27023600,7112.5,1.12796678
14-07-17,11918825.28,3330,333293000,177.45,23103400,7200,1.01104003
15-07-17,19637040.6,3516,310131000,160.07,14327300,7175,1.1113855
16-07-17,36934200.37,4703,279643000,165.98,20481600,7150,2.93381132
17-07-17,27133703.1,4730,290661000,182.51,28966300,7162.5,1.89703238
18-07-17,32684583.61,4811,317907000,199.32,27904700,7200,2.05504351
19-07-17,35567870.81,4682,352883000,181.99,21939800,7100,3.15888354
20-07-17,26612281.51,4389,323865000,206.94,26033400,7200,2.70189686
21-07-17,36996960.4,4042,374866000,201.8,20076700,7225,2.88913107
22-07-17,28928302.87,3893,363481000,216.1,38717100,7150,2.58020353
23-07-17,44412194.33,4105,390602000,214.42,24745700,7150,2.6832307
24-07-17,31015638.34,3862,381901000,206.82,23279900,7212.5,2.58434038
25-07-17,25963209.25,3709,380663000,184.19,24464700,7050,2.25132642
26-07-17,34590668.27,3526,339929000,190.08,21283100,7212.5,2.3434892
27-07-17,24940552.87,3654,348236000,185.9,19482500,7175,2.24172204
28-07-17,26877829.88,3996,342935000,178.05,27546000,7137.5,2.82693016
29-07-17,18576989.37,3510,324760000,189.29,31702400,7337.5,2.20526214
30-07-17,23562118.82,3915,342048000,175.42,17966700,7000,2.99864726
31-07-17,20623834.89,4229,325483000,176.32,28589500,7162.5,3.51961819
01-08-17,19845276.47,4118,321995000,192.34,36659900,7087.5,3.23559328
02-08-17,27731097.54,4372,355707000,189.14,28456000,7375,3.02878212
03-08-17,16438393.63,3974,354510000,186.84,17505400,7012.5,3.5205713
04-08-17,22874986.46,3901,355864000,186.76,18265500,7287.5,3.36190259
05-08-17,40536220.72,4123,354682000,207.52,25450100,7075,3.17010437
06-08-17,32075527.69,4722,390040000,206.3,17480000,7200,4.05921294
07-08-17,41064254.2,4637,394300000,208.64,21607900,7200,3.81596929
08-08-17,48340441.33,5578,400002000,245.48,39426100,7087.5,4.61991764
09-08-17,43847524.64,5895,471948000,242.9,37956900,7137.5,5.26573758
10-08-17,58874779.02,5448,467188000,230.4,20530400,7225,4.59061038
11-08-17,49975917.09,4123,446761000,234.37,18765000,7150,3.12100629
12-08-17,37271999.53,4375,454579000,223.31,20015900,7262.5,3.29373051
13-08-17,31762510.04,4719,435089000,214.31,21036100,7162.5,4.11032217
14-08-17,56019732.99,4817,419477000,210.23,18355900,7125,4.12437783
15-08-17,46521529.39,4558,411977000,212.17,21171600,7187.5,3.71482991
16-08-17,52239099.04,4731,417382000,216.75,17198100,7162.5,3.55904284
17-08-17,172009304.8,4892,429048000,208.95,16505300,7112.5,3.46675065
18-08-17,150896785.4,4555,414480000,201.01,17564100,7200,3.46514044
19-08-17,409159698.8,5918,401504000,233.34,34374700,7150,3.89743108
20-08-17,214641629.8,5379,463682000,241.07,30209100,7262.5,2.705694
21-08-17,81421552.61,5494,483761000,239.06,33202000,7087.5,1.95183502
22-08-17,111587323.8,4711,482352000,227.71,26540900,7162.5,2.02609424
23-08-17,76723233.09,4015,458739000,228.3,19773800,7100,2.35782067
24-08-17,43755030.25,4246,462350000,228.11,15371700,7225,2.24235847
25-08-17,57132460.01,5151,463553000,237.86,28281900,7087.5,2.87864395
26-08-17,136252284.4,8026,487257000,294.65,65866400,7187.5,4.67727542
27-08-17,285449148.3,5405,599640000,273.37,35217900,7275,2.17938395
28-08-17,85168628.27,5429,561634000,274.62,35210000,7150,3.25287168
29-08-17,71769795.5,5323,566591000,270.3,28596800,7150,2.56147739
30-08-17,63988252.89,5684,560403000,271.64,29396300,7237.5,2.93404791
31-08-17,55371841.94,5565,565218000,283.29,26913900,7075,2.5030074
01-09-17,68504468.56,6247,591510000,305.11,45352800,7275,2.68232699
02-09-17,58965465.95,5430,637301000,254.03,52498700,7162.5,2.1509322
03-09-17,42897316.49,4688,534636000,260.09,34128900,7087.5,2.02708177
04-09-17,58516443.95,5163,548884000,218.34,41954600,7087.499566,3.08120916
05-09-17,24115476.98,4472,463446000,226.88,31113600,7237.5,2.52991421
06-09-17,36640310.19,4734,482953000,247.01,29252500,7175,3.23541559
07-09-17,29331626.02,4423,527118000,247.31,27100600,7150,2.94806715
08-09-17,26881107.92,4502,528046000,213.99,30849900,7150,2.32766088
09-09-17,88416670.34,4520,458172000,213.79,24960900,7087.5,1.58722892
10-09-17,21521950.67,3764,458304000,212.91,26701400,7237.5,3.03461669
11-09-17,24891480.25,4421,457445000,208.77,22339400,7200,2.09442624
