date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2015-06-13,1717811.3947,9252.0,16057000.0,0.000165,198491.0,12850000.0095,14581.8574624,
2015-06-14,3405759.60614,10498.0,16455100.0,0.000167,300746.0,12870000.0099,16256.7571771,
2015-06-15,3262651.70795,10340.0,16623500.0,0.00017,145367.0,12830000.0083,14660.5514408,
2015-06-16,4154221.0095,11775.0,16952800.0,0.000198,782771.0,12850000.0097,17280.5454499,
2015-06-17,4744003.06183,12428.0,19687300.0,0.000197,1467650.0,12690000.0104,18289.763454,
2015-06-18,3289206.24206,12530.0,19699100.0,0.00021,755776.0,12650000.0122,18976.588275,
2015-06-19,3483244.87407,12849.0,21277500.0,0.000209,907950.0,12590000.0112,18461.1554319,
2015-06-20,1625570.43348,9605.0,20672600.0,0.00021,647287.0,12580000.0113,16905.1726483,
2015-06-21,1524267.88569,10457.0,21043400.0,0.000209,345750.0,12460000.0099,16387.0721059,
2015-06-22,1669702.03282,10015.0,20759100.0,0.000219,215505.0,12710000.0107,13362.1952499,
2015-06-23,3633893.8101,10735.0,21855400.0,0.000187,268407.0,12670000.0105,20719.4095984,
2015-06-24,3815088.77874,12254.0,18703400.0,0.000178,380388.0,12730000.0112,24607.2421199,
2015-06-25,2487284.12118,11609.0,17890800.0,0.000186,314154.0,12470000.0134,19737.2655053,
2015-06-26,3540849.3561,11056.0,18435000.0,0.000201,194843.0,12690000.0097,18365.4404024,
2015-06-27,2923160.57644,11669.0,20085800.0,0.00021,331089.0,12880000.0097,20735.1687727,
2015-06-28,2560877.46033,11430.0,20823800.0,0.000204,254646.0,12690000.0105,20570.989783,
2015-06-29,5335350.92393,11297.0,20322500.0,0.000214,374356.0,12470000.0124,20643.6453229,
2015-06-30,3121845.23675,11703.0,21472900.0,0.000199,470230.0,12440000.0108,20421.9226997,
2015-07-01,3392182.58019,9711.0,19871100.0,0.000193,385337.0,12330000.0127,13810.1521464,
2015-07-02,3320172.31461,10133.0,19318200.0,0.000191,202676.0,12550000.0117,16474.2466478,
2015-07-03,2475113.38766,9839.0,19073000.0,0.000191,108404.0,12560000.0112,16691.2368573,
2015-07-04,2509215.93483,9942.0,19084200.0,0.000191,144120.0,12740000.0088,15046.3341664,
2015-07-05,4043975.90262,11570.0,19147100.0,0.000194,241753.0,12840000.0099,19263.8275151,
2015-07-06,2558712.96468,11171.0,19377600.0,0.000192,428108.0,12720000.0111,20198.9954382,
2015-07-07,2601286.02578,10314.0,19192900.0,0.000189,242777.0,12470000.0124,14953.4534736,
2015-07-08,2501400.04852,10224.0,18897600.0,0.000189,346051.0,12790000.0106,15530.5319462,
2015-07-09,3397045.48914,10564.0,18874500.0,0.000195,667083.0,12850000.0083,18532.3002133,
2015-07-10,6265591.66585,11240.0,19574700.0,0.000203,1504540.0,13200000.0067,18302.0392714,
2015-07-11,3420331.66831,12285.0,20356800.0,0.000201,413951.0,13130000.0068,18499.0276362,
2015-07-12,4260243.51751,12043.0,20151300.0,0.000211,374607.0,13120000.0065,24513.0295763,
2015-07-13,4158481.9335,11573.0,21000800.0,0.0002,403970.0,13150000.0067,17352.269331,
2015-07-14,4047051.45484,11611.0,20020800.0,0.000194,200217.0,13140000.0064,15835.601524,
2015-07-15,2368697.77593,11623.0,19394200.0,0.000186,203396.0,13190000.0056,18422.6164253,
2015-07-16,3643466.22773,12175.0,18597000.0,0.000171,394271.0,13100000.0067,19491.6105611,
2015-07-17,3455472.56089,11817.0,17078800.0,0.00018,156356.0,12960000.0069,21600.1418943,
2015-07-18,2416076.367,11820.0,18005500.0,0.000177,88979.0,12870000.0071,19153.2710138,
2015-07-19,3595544.31519,12851.0,17732200.0,0.000169,158401.0,12830000.0082,17725.6536734,
2015-07-20,2433863.75839,12317.0,16803400.0,0.000174,117169.0,13100000.0064,15471.4182419,
2015-07-21,1675731.22475,12182.0,17404000.0,0.00017,59467.0,13270000.0053,14629.0609981,
2015-07-22,3071763.16749,12758.0,17057600.0,0.000184,292748.0,13060000.0062,16730.2146911,
2015-07-23,2771791.16999,11559.0,18382900.0,0.000178,154598.0,12910000.0083,16120.5298273,
2015-07-24,2879824.1727,11211.0,17877300.0,0.000188,201460.0,13020000.0069,18256.2199522,
2015-07-25,2543529.22903,11671.0,18847200.0,0.000188,170496.0,13080000.0069,20605.7864051,
2015-07-26,1884240.1402,13561.0,18836000.0,0.000187,75824.0,13110000.0057,19370.7976581,
2015-07-27,3550453.48686,12763.0,18779400.0,0.000189,109809.0,12630000.0099,20013.9014929,
2015-07-28,3224586.95208,13467.0,18922300.0,0.000188,110059.0,13140000.0058,18593.9001885,
2015-07-29,2937925.62577,12272.0,18906800.0,0.000184,158187.0,12980000.0076,23039.20669,
2015-07-30,1727538.91658,12216.0,18514600.0,0.000183,70188.0,13090000.0066,16890.1953268,
2015-07-31,2082358.07842,12317.0,18362000.0,0.000184,137241.0,12880000.008,23772.0021388,
2015-08-01,2705775.56567,12789.0,18494500.0,0.000175,157221.0,12840000.0071,18059.7227304,
2015-08-02,2495577.0362,14651.0,17578700.0,0.000172,112603.0,13010000.0075,26962.6353334,
2015-08-03,2290586.92542,13600.0,17327600.0,0.000173,98376.0,12930000.0068,19143.6469804,
2015-08-04,3084800.7009,13769.0,17369300.0,0.000176,52130.0,12980000.0085,17186.0510853,
2015-08-05,2871516.04843,12873.0,17557800.0,0.000173,63217.0,12870000.0073,18067.9090153,
2015-08-06,3089139.77206,13315.0,17418100.0,0.000168,88243.0,12910000.0083,17543.4799537,
2015-08-07,2415102.2449,13454.0,16926500.0,0.000168,100492.0,13100000.0067,21519.7836011,
2015-08-08,2155625.21189,13529.0,16944500.0,0.000158,145228.0,12730000.0091,25443.8250545,
2015-08-09,3116902.50049,15565.0,15913700.0,0.000162,106400.0,13040000.0074,20217.6481979,
2015-08-10,4103099.10243,14403.0,16240100.0,0.00016,68112.0,13010000.0074,21937.7986957,
2015-08-11,2963524.23061,13457.0,16077900.0,0.000164,121884.0,13040000.0085,15796.5883904,
2015-08-12,2114650.42235,13527.0,16467400.0,0.00016,68514.0,12860000.0096,19410.242318,
2015-08-13,1235634.63773,13261.0,16110600.0,0.000156,62385.0,12830000.0094,18220.2940981,
2015-08-14,1788634.77701,11665.0,15722100.0,0.000158,53715.0,12790000.0103,16379.1748361,
2015-08-15,2216952.39749,19423.0,15849200.0,0.000155,42531.0,12650000.0119,24972.4561121,
2015-08-16,2664266.91337,27696.0,15509200.0,0.000148,163777.0,12690000.01,33388.7408951,
2015-08-17,2914637.85804,13478.0,14867600.0,0.00015,73157.0,12490000.0106,21345.0627554,
2015-08-18,2355542.49378,13694.0,15108800.0,0.000134,88439.0,12940000.0092,18216.0408503,
2015-08-19,1753468.05168,11371.0,13431900.0,0.000131,147002.0,12610000.0083,13827.6193253,
2015-08-20,1541267.47421,11227.0,13172900.0,0.000139,69654.0,13130000.0075,15040.0910592,
2015-08-21,2578616.37534,10984.0,13970900.0,0.000145,123419.0,13010000.0076,14439.9712597,
2015-08-22,2434863.24039,12505.0,14576700.0,0.000137,79829.0,13080000.0081,17105.8178353,
2015-08-23,2804315.8924,12670.0,13764000.0,0.000138,39491.0,13070000.0073,18400.33811,
2015-08-24,2234711.27924,11288.0,13866600.0,0.000128,110942.0,12880000.0078,15346.9526046,
2015-08-25,2027755.01122,10900.0,12598000.0,0.000129,122066.0,12810000.0091,14368.3758089,
2015-08-26,1565563.35197,10833.0,12959600.0,0.000133,107993.0,12890000.0077,15324.6072934,
2015-08-27,1399085.47234,10237.0,13406000.0,0.000129,49657.0,13000000.0069,13812.7363252,
2015-08-28,2109692.62732,10181.0,13032200.0,0.000132,64854.0,12940000.0075,12928.2068969,
2015-08-29,2854570.56564,11388.0,13345100.0,0.000131,49505.0,13030000.0073,15294.9793792,
2015-08-30,3188949.77239,11861.0,13190400.0,0.000129,45347.0,12600000.0105,16527.876986,
2015-08-31,2498848.15955,11217.0,13096200.0,0.000129,41405.0,13120000.0076,15705.8935841,
2015-09-01,1645736.31804,10628.0,12938900.0,0.000127,68704.0,12910000.0088,13535.2741499,
2015-09-02,2321890.48573,11838.0,12816600.0,0.000126,41740.0,13120000.0073,14686.2510174,
